"","names","pts","ast","reb","wins","total_games","win_pct","year","mvp","is_mvp"
"1","Aaron Brooks",7.094339623,2.150943396,1.509433962,20,53,0.377358491,2013,0,"NO"
"2","Aaron Gray",2.833333333,0.785714286,3.166666667,14,42,0.333333333,2013,0,"NO"
"3","AJ Price",7.736842105,3.596491228,2,21,57,0.368421053,2013,0,"NO"
"4","Al-Farouq Aminu",7.302631579,1.355263158,7.697368421,25,76,0.328947368,2013,0,"NO"
"5","Al Harrington",5.1,1,2.7,3,10,0.3,2013,0,"NO"
"6","Al Horford",17.41891892,3.243243243,10.22972973,42,74,0.567567568,2013,0,"NO"
"7","Al Jefferson",17.83333333,2.102564103,9.230769231,41,78,0.525641026,2013,0,"NO"
"8","Alan Anderson",10.66153846,1.584615385,2.276923077,31,65,0.476923077,2013,0,"NO"
"9","Alec Burks",7.046875,1.4375,2.265625,32,64,0.5,2013,0,"NO"
"10","Alexey Shved",8.636363636,3.714285714,2.272727273,30,77,0.38961039,2013,0,"NO"
"11","Alonzo Gee",10.26829268,1.62195122,3.902439024,24,82,0.292682927,2013,0,"NO"
"12","Amar'e Stoudemire",14.24137931,0.448275862,5,16,29,0.551724138,2013,0,"NO"
"13","Amir Johnson",10.03703704,1.50617284,7.543209877,34,81,0.419753086,2013,0,"NO"
"14","Anderson Varejao",14.12,3.36,14.44,5,25,0.2,2013,0,"NO"
"15","Andray Blatche",10.2804878,1.036585366,5.085365854,49,82,0.597560976,2013,0,"NO"
"16","Andre Drummond",7.933333333,0.5,7.616666667,23,60,0.383333333,2013,0,"NO"
"17","Andre Iguodala",12.975,5.4125,5.2875,57,80,0.7125,2013,0,"NO"
"18","Andre Miller",9.585365854,5.902439024,2.902439024,57,82,0.695121951,2013,0,"NO"
"19","Andrea Bargnani",12.65714286,1.085714286,3.657142857,10,35,0.285714286,2013,0,"NO"
"20","Andrei Kirilenko",12.359375,2.765625,5.65625,26,64,0.40625,2013,0,"NO"
"21","Andrew Bogut",5.8125,2.09375,7.65625,19,32,0.59375,2013,0,"NO"
"22","Andrew Goudelock",0,0,1,1,1,1,2013,0,"NO"
"23","Andrew Nicholson",7.826666667,0.586666667,3.44,18,75,0.24,2013,0,"NO"
"24","Andris Biedrins",0.452830189,0.264150943,2.886792453,28,53,0.528301887,2013,0,"NO"
"25","Antawn Jamison",9.368421053,0.657894737,4.763157895,41,76,0.539473684,2013,0,"NO"
"26","Anthony Davis",13.546875,0.984375,8.15625,23,64,0.359375,2013,0,"NO"
"27","Anthony Morrow",4,0.317073171,0.731707317,25,41,0.609756098,2013,0,"NO"
"28","Anthony Randolph",3.666666667,0.307692308,2.435897436,29,39,0.743589744,2013,0,"NO"
"29","Anthony Tolliver",4.080645161,0.516129032,2.5,28,62,0.451612903,2013,0,"NO"
"30","Arnett Moultrie",3.70212766,0.212765957,3.085106383,20,47,0.425531915,2013,0,"NO"
"31","Aron Baynes",2.6875,0.3125,2,11,16,0.6875,2013,0,"NO"
"32","Arron Afflalo",16.515625,3.21875,3.734375,18,64,0.28125,2013,0,"NO"
"33","Austin Daye",4.490909091,0.763636364,2.236363636,34,55,0.618181818,2013,0,"NO"
"34","Austin Rivers",6.180327869,2.081967213,1.786885246,21,61,0.344262295,2013,0,"NO"
"35","Avery Bradley",9.22,2.08,2.22,27,50,0.54,2013,0,"NO"
"36","Ben Gordon",11.2,1.88,1.733333333,19,75,0.253333333,2013,0,"NO"
"37","Ben Hansbrough",2.035714286,0.75,0.642857143,20,28,0.714285714,2013,0,"NO"
"38","Beno Udrih",8.151515152,4.575757576,2.136363636,24,66,0.363636364,2013,0,"NO"
"39","Bernard James",2.847826087,0.130434783,2.847826087,24,46,0.52173913,2013,0,"NO"
"40","Bismack Biyombo",4.825,0.4375,7.275,20,80,0.25,2013,0,"NO"
"41","Blake Griffin",18,3.7375,8.275,55,80,0.6875,2013,0,"NO"
"42","Boris Diaw",5.8,2.4,3.386666667,55,75,0.733333333,2013,0,"NO"
"43","Bradley Beal",13.92857143,2.446428571,3.767857143,21,56,0.375,2013,0,"NO"
"44","Brandan Wright",8.453125,0.59375,4.0625,33,64,0.515625,2013,0,"NO"
"45","Brandon Bass",8.654320988,1.037037037,5.24691358,41,81,0.50617284,2013,0,"NO"
"46","Brandon Jennings",17.4625,6.5125,3.075,38,80,0.475,2013,0,"NO"
"47","Brandon Knight",13.32,4.04,3.293333333,29,75,0.386666667,2013,0,"NO"
"48","Brandon Roy",5.8,4.6,2.8,4,5,0.8,2013,0,"NO"
"49","Brandon Rush",7,1,0.5,1,2,0.5,2013,0,"NO"
"50","Brendan Haywood",3.540983607,0.475409836,4.754098361,15,61,0.245901639,2013,0,"NO"
"51","Brian Roberts",7.115384615,2.807692308,1.243589744,26,78,0.333333333,2013,0,"NO"
"52","Brook Lopez",19.41891892,0.945945946,6.918918919,46,74,0.621621622,2013,0,"NO"
"53","Byron Mullens",10.64150943,1.528301887,6.358490566,13,53,0.245283019,2013,0,"NO"
"54","C.J. Watson",6.7875,2.0125,1.8125,47,80,0.5875,2013,0,"NO"
"55","Carl Landry",10.79012346,0.802469136,5.962962963,46,81,0.567901235,2013,0,"NO"
"56","Carlos Boozer",16.21518987,2.265822785,9.759493671,43,79,0.544303797,2013,0,"NO"
"57","Carlos Delfino",10.56716418,2.014925373,3.28358209,38,67,0.567164179,2013,0,"NO"
"58","Carmelo Anthony",28.65671642,2.552238806,6.865671642,47,67,0.701492537,2013,0,"NO"
"59","Caron Butler",10.42307692,1,2.858974359,55,78,0.705128205,2013,0,"NO"
"60","Cartier Martin",6.585365854,0.487804878,2.43902439,8,41,0.195121951,2013,0,"NO"
"61","Chandler Parsons",15.48684211,3.539473684,5.315789474,42,76,0.552631579,2013,0,"NO"
"62","Charles Jenkins",1.881355932,0.745762712,0.542372881,29,59,0.491525424,2013,0,"NO"
"63","Charlie Villanueva",6.768115942,0.782608696,3.492753623,26,69,0.376811594,2013,0,"NO"
"64","Chase Budinger",9.391304348,1.086956522,3.086956522,12,23,0.52173913,2013,0,"NO"
"65","Chauncey Billups",8.363636364,2.227272727,1.454545455,16,22,0.727272727,2013,0,"NO"
"66","Chris Andersen",4.928571429,0.404761905,4.095238095,39,42,0.928571429,2013,0,"NO"
"67","Chris Bosh",16.64864865,1.662162162,6.77027027,58,74,0.783783784,2013,0,"NO"
"68","Chris Copeland",8.678571429,0.482142857,2.125,38,56,0.678571429,2013,0,"NO"
"69","Chris Douglas-Roberts",2.833333333,0.666666667,0.833333333,1,6,0.166666667,2013,0,"NO"
"70","Chris Duhon",2.891304348,2.891304348,1.47826087,23,46,0.5,2013,0,"NO"
"71","Chris Johnson",3.842105263,0.263157895,1.868421053,12,38,0.315789474,2013,0,"NO"
"72","Chris Kaman",10.5,0.772727273,5.636363636,31,66,0.46969697,2013,0,"NO"
"73","Chris Paul",16.94285714,9.685714286,3.742857143,50,70,0.714285714,2013,0,"NO"
