"","names","pts","ast","reb","wins","total_games","win_pct","year"
"1","A.J. Green",0,1,0,1,1,1,2023
"2","Aaron Gordon",14.3636363636364,2.63636363636364,7,8,11,0.727272727272727,2023
"3","Aaron Holiday",5.18181818181818,2,1.36363636363636,7,11,0.636363636363636,2023
"4","Aaron Nesmith",7.42857142857143,1.71428571428571,3.42857142857143,2,7,0.285714285714286,2023
"5","Aaron Wiggins",5,1.375,4.125,4,8,0.5,2023
"6","Admiral Schofield",1.25,0,0.75,2,4,0.5,2023
"7","AJ Griffin",7.14285714285714,0.571428571428571,1.57142857142857,3,7,0.428571428571429,2023
"8","Al Horford",10.1111111111111,2.11111111111111,6,6,9,0.666666666666667,2023
"9","Aleksej Pokusevski",8.55555555555556,1.66666666666667,5.55555555555556,4,9,0.444444444444444,2023
"10","Alex Caruso",4.69230769230769,3.92307692307692,3.53846153846154,6,13,0.461538461538462,2023
"11","Alex Len",0.333333333333333,0,0.666666666666667,2,3,0.666666666666667,2023
"12","Alperen Sengun",17.1,2.1,9.7,1,10,0.1,2023
"13","Amir Coffey",2.4,0.5,0.8,5,10,0.5,2023
"14","Andre Drummond",8,0.857142857142857,9.42857142857143,3,7,0.428571428571429,2023
"15","Andrew Nembhard",6.5,3.4,2.3,5,10,0.5,2023
"16","Andrew Wiggins",18.2,2.8,6.1,4,10,0.4,2023
"17","Anfernee Simons",22,4.11111111111111,2.55555555555556,7,9,0.777777777777778,2023
"18","Anthony Davis",23,2.5,10.2,2,10,0.2,2023
"19","Anthony Edwards",21.25,3.75,5.5,5,12,0.416666666666667,2023
"20","Anthony Gill",4.36363636363636,0.727272727272727,2,5,11,0.454545454545455,2023
"21","Anthony Lamb",7.33333333333333,1.33333333333333,3.33333333333333,1,3,0.333333333333333,2023
"22","Austin Reaves",6.90909090909091,1.54545454545455,3.27272727272727,2,11,0.181818181818182,2023
"23","Austin Rivers",1.5,0.333333333333333,0.666666666666667,3,6,0.5,2023
"24","Ayo Dosunmu",12.0833333333333,3.16666666666667,4,6,12,0.5,2023
"25","Bam Adebayo",17.7272727272727,3.45454545454545,8.09090909090909,4,11,0.363636363636364,2023
"26","Ben Simmons",5.625,6.25,6.375,2,8,0.25,2023
"27","Bennedict Mathurin",20.3636363636364,2.18181818181818,3.54545454545455,5,11,0.454545454545455,2023
