,player_name,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact,pts,ast,reb,wins,total_games,win_pct,year
1,Precious Achiuwa,2022,RS,TOR,3482,1725,-2.4407965203542368,2.028669050810011,-0.4121274695442256,-2.003025494409942,3.339821402198853,1.33679590778891,-2.516108092052226,2.410592609459829,-0.1055154825923972,2.3096109685770743,2.3096109685770743,0.0,-2.34848377020455,2.251909209365019,-0.0965745608395312,-0.7642503078035557,8.75,1.33333333333333,7.0,7.0,12.0,0.583333333333333,2023.0
3,Steven Adams,2022,RS,MEM,4147,1999,0.4706895965511266,1.4896221842143458,1.9603117807654733,6.284896174203987,-2.9415254172286547,3.343370756975332,1.684133416766935,0.6192272436622428,2.303360660429178,5.140587252649322,5.140587252649322,0.0,1.417836907767883,1.7894521550889941,3.2072890628568764,-0.2577503776825809,6.72727272727273,2.3636363636363598,11.727272727272698,8.0,11.0,0.7272727272727271,2023.0
5,Bam Adebayo,2022,RS,MIA,3696,1825,-0.4442617442789292,3.761820578816306,3.3175588345373765,0.7051227565292671,4.163775983973374,4.868898740502642,-0.2538938252180927,4.034816187474428,3.780922362256335,6.102629373035683,6.102629373035683,0.0,0.3740523824571566,3.4458486069275027,3.81990098938466,0.3550415426578831,17.727272727272698,3.45454545454545,8.09090909090909,4.0,11.0,0.36363636363636404,2023.0
6,Santi Aldama,2022,RS,MEM,763,360,-2.582434628107598,-2.419017647097883,-5.00145227520548,-2.713255980041213,1.162841545658073,-1.5504144343831399,-2.8094772440261395,-1.865065459685644,-4.674542703711784,-0.354748465790142,-0.354748465790142,0.0,-1.643804080129696,-2.2810161052498903,-3.9248201853795863,0.3575529361200885,9.16666666666667,0.916666666666667,6.08333333333333,8.0,12.0,0.666666666666667,2023.0
9,Nickeil Alexander-Walker,2022,RS,NOP,2717,1317,-1.5321818915581202,-1.541436682549971,-3.0736185741080915,-2.698631371163521,-1.186978580658417,-3.885609951821937,-1.852400649614951,-1.5473468571760791,-3.3997475067910288,-0.4396137646094258,-0.4396137646094258,0.0,-0.7009012320399925,-1.5231396857978117,-2.2240409178378044,0.6932867343116746,3.25,1.25,0.75,6.0,8.0,0.75,2023.0
10,Nickeil Alexander-Walker,2022,RS,UTA,308,149,-2.288791855509621,1.303681861495525,-0.9851099940140956,-0.0089504441043877,0.5842119285101214,0.5752614844057338,-2.040163146919665,1.182940291765646,-0.8572228551540195,0.1447393615752455,0.1447393615752455,0.0,-1.741681880716026,0.1276204472053068,-1.6140614335107188,0.5913229796844746,3.25,1.25,0.75,6.0,8.0,0.75,2023.0
12,Grayson Allen,2022,RS,MIL,3824,1805,0.5742096157108507,-0.5348913757833615,0.0393182399274892,-0.0064406582825195,1.8466272859406019,1.8401866276580816,0.4560792383198836,-0.0907076061089258,0.3653716322109578,2.8661343709645486,2.8661343709645486,0.0,0.3982022017348527,-0.3392047036899597,0.058997498044892994,-0.0991891161537242,10.8181818181818,2.7272727272727297,2.81818181818182,10.0,11.0,0.9090909090909091,2023.0
13,Jarrett Allen,2022,RS,CLE,3667,1809,0.2195413650861536,4.273031150345603,4.492572515431758,0.0292814845759485,2.347238247863102,2.376519732439051,0.1942346735639235,4.089200453318242,4.283435126882165,6.460446751955602,6.460446751955602,0.0,-0.0535675768488784,3.4708227160126235,3.417255139163745,-0.4787128880535944,14.090909090909099,1.1818181818181799,11.727272727272698,8.0,11.0,0.7272727272727271,2023.0
15,Jose Alvarado,2022,RS,NOP,1749,834,0.8387726558000064,4.398918200924755,5.237690856724762,1.385949478399418,4.696666865896273,6.082616344295692,1.006922245110488,4.740324984048677,5.747247229159165,3.610532587614111,3.610532587614111,0.0,0.6642716256102751,4.2604858369126095,4.9247574625228845,-0.1411656346635803,7.72727272727273,2.7272727272727297,1.90909090909091,6.0,11.0,0.545454545454545,2023.0
19,Kyle Anderson,2022,RS,MEM,3206,1484,-1.215104391323186,1.0148239051386851,-0.2002804861845005,-2.423992524561273,0.7732982651568593,-1.650694259404414,-1.579447505918065,0.98217681602252,-0.5972706898955448,1.6335134996729601,1.6335134996729601,0.0,-1.310412036727324,1.3237284180826192,0.0133163813552946,0.2210564197189818,5.5,2.5,2.375,2.0,8.0,0.25,2023.0
21,Giannis Antetokounmpo,2022,RS,MIL,4735,2204,5.9033145464937355,1.870157331431558,7.773471877925293,3.2744742451292885,2.3990000666012703,5.6734743117305575,5.668302167845672,2.079335808552789,7.7476379763984635,12.004107989903279,12.004107989903279,0.0,5.152616325937303,1.6038487883825783,6.75646511431988,1.6919242174176508,31.7777777777778,5.33333333333333,12.2222222222222,8.0,9.0,0.8888888888888891,2023.0
23,Thanasis Antetokounmpo,2022,RS,MIL,1007,473,-2.504451460529363,0.013790474749298,-2.4906609857800652,-4.067761090760183,-3.2323274978142815,-7.300088588574465,-3.012612103756545,-0.6621297965668314,-3.6747419003233768,-0.2234183939709947,-0.2234183939709947,0.0,-2.463007780710235,-0.7930332705215613,-3.2560410512317963,0.1144598967492733,0.0,0.2,0.4,4.0,5.0,0.8,2023.0
25,Cole Anthony,2022,RS,ORL,4282,2059,-0.5133056603746199,-2.062585867376853,-2.575891527751473,0.9129532258995828,-1.041265472302886,-0.1283122464033032,-0.1238523394274876,-1.9596665213704618,-2.08351886079795,0.6991643180040022,0.6991643180040022,0.0,-1.1825406224000121,-1.431170082998277,-2.61371070539829,-0.1393074094644593,15.5,4.25,4.75,0.0,4.0,0.0,2023.0
28,Ryan Arcidiacono,2022,RS,NYK,157,76,-2.087109578457512,6.257549428266102,4.1704398498085915,-11.51336427242832,2.266879175840701,-9.246485096587618,-4.223191729934404,5.765752228327526,1.5425604983931203,0.1671225721840392,0.1671225721840392,0.0,-4.587868472041716,3.0183268686852665,-1.56954160335645,0.4071616689039133,0.0,0.33333333333333304,0.666666666666667,2.0,3.0,0.666666666666667,2023.0
32,Deni Avdija,2022,RS,WAS,4128,1984,-1.1330492811125048,1.899897196747984,0.7668479156354786,0.1640366481085774,1.7586573530606682,1.9226940011692453,-0.9145353162525448,2.02555564164735,1.111020325394805,3.914351013351983,3.914351013351983,0.0,-1.059733345889081,1.7733288906988391,0.7135955448097586,0.1556784452886819,4.545454545454549,1.3636363636363602,4.18181818181818,5.0,11.0,0.45454545454545503,2023.0
